TestTime_s_,Current_A_
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0.000371350624743642
14,0.000371350624743642
15,0.000371350624743642
16,0.000371350624743642
17,0.000737329380993895
18,0.000371350624743642
19,0.000371350624743642
20,0.000737329380993895
21,5.37771383451452e-06
22,0.000371350624743642
23,0.000371350624743642
24,0.000371350624743642
25,0.000737329380993895
26,0.000371350624743642
27,0.000371350624743642
28,0.000371350624743642
29,0.000737329380993895
30,0.000371350624743642
31,0.000371350624743642
32,0.000371350624743642
33,-1.80353865985816
34,-1.77462624848582
35,-2.875856871608
36,-3.51302604016701
37,-3.96830362658145
38,-4.38588586093562
39,-1.19637962655951
40,-1.74534800643921
41,-5.22104940218317
42,-2.46742433217995
43,-1.99384758388158
44,-0.862972889986964
45,0.161768046429857
46,0.332314211141227
47,0.332314211141227
48,0.236793716790971
49,0.312917327317729
50,2.155255011733
51,1.34790569618781
52,-0.340355009783981
53,-0.862972889986964
54,-0.8820037697244
55,-1.13928692499689
56,-2.25954837135155
57,-3.77799470255803
58,-4.18715913130294
59,-3.85485034853517
60,-1.01558611317809
61,-0.104298614580216
62,-0.360117868466836
63,1.08293691883842
64,2.01215743104908
65,1.37681799260177
66,0.777710527012677
67,-0.369633310284002
68,-3.33296453495772
69,-4.09090659955385
70,-3.91084532815821
71,-3.9489069726747
72,-2.86670740465019
73,-1.61322962087635
74,-1.38485881852279
75,-0.996555174987246
76,0.142371160657912
77,-0.417576544888808
78,-1.11989004117339
79,-0.987405709977884
80,-0.427457988843588
81,-0.417576544888808
82,-0.701576145470674
83,-1.90894054165823
84,-1.94553840364412
85,-1.03388504514527
86,0.0468506702045491
87,0.246309156659689
88,-0.996921120619897
89,-1.68056974125311
90,-2.25003284380271
91,-0.768550320214775
92,0.0384331549138992
93,-1.73802838649993
94,-2.19257431351427
95,-2.66724878375221
96,-3.50351051261817
97,-2.61088797540334
98,-2.23100202057024
99,-1.69008515189512
100,-1.70875014445332
101,-1.73766244086728
102,-0.958493355110514
103,-0.304123093430736
104,-0.616669044793909
105,-0.617035048879971
106,-1.26225584555039
107,-2.03154339967225
108,0.142737137465715
109,0.265340067572279
110,0.142737137465715
