TestTime_s_,Current_A_
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,-0.00796580811393659
14,-0.148098794363338
15,-0.563513657955006
16,-0.757630565689667
17,-1.17304912968773
18,-1.87973674754546
19,-2.18709580010739
20,-1.06467273814144
21,-0.597815856209679
22,-0.370837747745045
23,-0.556476587491477
24,-0.443874529986714
25,-1.32493622398972
26,-1.01035516532198
27,-1.80425318377236
28,-2.15675573960157
29,-2.32559449552135
30,-2.24460151267397
31,-1.49536415457726
32,-1.18052356447752
33,-1.02154563289175
34,-0.945155052938466
35,-0.577462892807326
36,-0.196854194031068
37,0.451986068064195
38,1.01084361388555
39,0.992817423686022
40,0.737291030443978
41,0.658656090503628
42,0.950354455860083
43,1.03650703643369
44,0.643662341853338
45,0.207103628778608
46,0.0242773841027721
47,0.107789654430783
48,0.143620577785305
49,0.0416909394226741
50,-0.144451328335646
51,0.00409521520156257
52,0.236383901360468
53,0.359027840612397
54,0.0851997335477072
55,-0.0687716701203774
56,-0.0939462850723742
57,-0.0939462850723742
58,-0.171318895302363
59,-0.175750446114616
60,-0.667640689087048
61,-0.306403101259173
62,-0.319365651959835
63,-0.229864223920789
64,-0.443365911244573
65,-0.395342497687743
66,-0.2592207045518
67,-0.263912620022569
68,-0.901357008968883
69,-1.43320096148876
70,-1.84224277179861
71,-2.11148745388869
72,-2.06336432411741
73,-1.56602284397537
74,-1.14182735294275
75,-1.03026598689398
76,-1.13852058002948
77,-1.25475357112842
78,-1.04874684949912
79,-0.567801030095366
80,0.0107663501903364
81,0.0118414156273804
82,0.289503059040443
83,-0.128603674921632
84,-0.126202785203708
85,0.129213684799013
86,0.0543466951024674
87,0.0908660413854106
88,-0.0338013376643394
89,0.651786352925374
90,1.36490950419909
91,1.37012967512237
92,1.04093596055014
93,0.423084200564547
94,0.266926444378443
95,0.312342248443497
96,0.274663574151329
97,0.109797398408707
98,0.0386467412504585
99,0.0416974443476011
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
